"tITI","period","seq_tr","position","mean_prob","sem_upper","sem_lower","time"
"0.128","forward",2,2,7.34809873618203,7.9006474770613,6.79554999530276,1.25
"0.128","forward",3,2,9.18163293662223,9.95835460562168,8.40491126762278,2.5
"0.128","forward",4,2,9.95615164800451,10.7502539964793,9.16204929952969,3.75
"0.128","backward",5,2,7.11703407423021,7.86717584285735,6.36689230560306,5
"0.128","backward",6,2,6.54873612706659,7.07559519634292,6.02187705779027,6.25
"0.128","backward",7,2,7.37159646070051,7.98933972751324,6.75385319388778,7.5
"0.128","backward",8,2,8.30483274086467,8.99041674905747,7.61924873267186,8.75
"0.128","excluded",9,2,6.88888323123289,7.57988435120486,6.19788211126091,10
"0.128","excluded",10,2,7.13524862252085,7.65086248521128,6.61963475983042,11.25
"0.128","excluded",11,2,6.53910398280091,7.17026250332221,5.90794546227961,12.5
"0.128","excluded",12,2,8.20328620932683,8.81961325979212,7.58695915886154,13.75
"0.128","excluded",13,2,8.51171140155064,9.17337091210413,7.85005189099716,15
"0.512","excluded",1,2,7.65016086593353,8.35991917451219,6.94040255735486,0
"0.512","forward",2,2,6.87940227508511,7.35171048501027,6.40709406515995,1.25
"0.512","forward",3,2,9.84149556097578,10.4455201553373,9.23747096661424,2.5
"0.512","forward",4,2,11.9614187349368,12.7748787833908,11.1479586864827,3.75
"0.512","forward",5,2,8.94373593311059,9.79350326633653,8.09396859988465,5
"0.512","backward",6,2,5.33054721218084,5.83652631863625,4.82456810572542,6.25
"0.512","backward",7,2,4.89060281042631,5.35073054773833,4.43047507311429,7.5
"0.512","backward",8,2,6.93784219409099,7.71808138625753,6.15760300192445,8.75
"0.512","backward",9,2,7.64659728183381,8.24590306728593,7.04729149638169,10
"0.512","excluded",10,2,7.85818504122772,8.46568188953537,7.25068819292007,11.25
"0.512","excluded",11,2,6.52398641041769,7.00589769994388,6.04207512089149,12.5
"0.512","excluded",12,2,8.44355826232742,9.07938930101338,7.80772722364147,13.75
