"id","stim","seq_tr","mean_probability"
"sub-04","cat",5,0.448262972527789
"sub-04","cat",6,0.346014011347092
"sub-04","cat",7,0.181495999798332
"sub-04","chair",1,0.0655331609604855
"sub-04","chair",2,0.100966529599418
"sub-04","chair",3,0.250115334707983
"sub-04","chair",4,0.4405316547507
"sub-04","chair",5,0.489146463373452
"sub-04","chair",6,0.335745506970923
"sub-04","chair",7,0.214475254821994
"sub-04","face",1,0.0777896661333213
"sub-04","face",2,0.120479318342994
"sub-04","face",3,0.233695348871729
"sub-04","face",4,0.382413662673475
"sub-04","face",5,0.395892209801412
"sub-04","face",6,0.307050565278101
"sub-04","face",7,0.227912924077114
"sub-04","house",1,0.0346989431083585
"sub-04","house",2,0.0377086629307925
"sub-04","house",3,0.310356478267818
"sub-04","house",4,0.690707374390486
"sub-04","house",5,0.603296603727603
"sub-04","house",6,0.364867241226995
"sub-04","house",7,0.156808116516624
"sub-04","shoe",1,0.0289856714750943
"sub-04","shoe",2,0.046536318668894
"sub-04","shoe",3,0.231087285581733
"sub-04","shoe",4,0.511599346736243
"sub-04","shoe",5,0.503517511529745
"sub-04","shoe",6,0.340320633462839
"sub-04","shoe",7,0.181343645437172
"sub-05","cat",1,0.172239081473568
"sub-05","cat",2,0.178597616486644
"sub-05","cat",3,0.342436237157938
"sub-05","cat",4,0.61046983297509
"sub-05","cat",5,0.50785826683496
"sub-05","cat",6,0.238935393581377
"sub-05","cat",7,0.0619274379236483
"sub-05","chair",1,0.0282901614872376
"sub-05","chair",2,0.0887900430995503
"sub-05","chair",3,0.417870558006842
"sub-05","chair",4,0.677232747277748
"sub-05","chair",5,0.506314418755684
"sub-05","chair",6,0.236930019418124
"sub-05","chair",7,0.0841118611908116
"sub-05","face",1,0.0242009799864663
"sub-05","face",2,0.0731576043285152
"sub-05","face",3,0.275511516979647
"sub-05","face",4,0.644071801735806
"sub-05","face",5,0.564810627491062
"sub-05","face",6,0.336613405612968
"sub-05","face",7,0.0915920497369679
"sub-05","house",1,0.05141997600176
"sub-05","house",2,0.0571728379008747
"sub-05","house",3,0.410551812484541
"sub-05","house",4,0.703880336572421
"sub-05","house",5,0.633837951518475
"sub-05","house",6,0.295081674313001
"sub-05","house",7,0.0820253587091477
"sub-05","shoe",1,0.0945539762730874
"sub-05","shoe",2,0.0855884040610486
"sub-05","shoe",3,0.360122141496672
"sub-05","shoe",4,0.57694306666853
"sub-05","shoe",5,0.485173782129641
"sub-05","shoe",6,0.289003983193996
"sub-05","shoe",7,0.166327622809508
"sub-06","cat",1,0.126349124961444
"sub-06","cat",2,0.196649884683471
"sub-06","cat",3,0.363174996929411
"sub-06","cat",4,0.56226700330777
"sub-06","cat",5,0.402513578931818
"sub-06","cat",6,0.153199613827735
"sub-06","cat",7,0.116543703728293
"sub-06","chair",1,0.089199785249514
"sub-06","chair",2,0.130013562647185
"sub-06","chair",3,0.405196170075928
"sub-06","chair",4,0.466260438068767
"sub-06","chair",5,0.249720395675202
"sub-06","chair",6,0.108990693238231
"sub-06","chair",7,0.0628745799753802
"sub-06","face",1,0.0718065323309941
"sub-06","face",2,0.0916380498049574
"sub-06","face",3,0.376768760019234
"sub-06","face",4,0.539687781586833
"sub-06","face",5,0.288476747537133
"sub-06","face",6,0.146451561285674
"sub-06","face",7,0.0574459884105644
"sub-06","house",1,0.0485604538382933
"sub-06","house",2,0.0998850223216026
"sub-06","house",3,0.572795747981198
"sub-06","house",4,0.722659372110879
"sub-06","house",5,0.35418115541484
"sub-06","house",6,0.128575455311902
"sub-06","house",7,0.0436469278767004
"sub-06","shoe",1,0.0442916429869026
"sub-06","shoe",2,0.089978892290394
"sub-06","shoe",3,0.523953095090249
"sub-06","shoe",4,0.664453231697532
"sub-06","shoe",5,0.415190147048732
"sub-06","shoe",6,0.146849326375907
"sub-06","shoe",7,0.0544107801722351
"sub-07","cat",1,0.140273755872552
"sub-07","cat",2,0.13346166889238
"sub-07","cat",3,0.358560860949897
"sub-07","cat",4,0.547009402278744
"sub-07","cat",5,0.517093034850273
"sub-07","cat",6,0.235762883822338
"sub-07","cat",7,0.0655454223716156
"sub-07","chair",1,0.0880187164658058
"sub-07","chair",2,0.096724657971545
"sub-07","chair",3,0.351988987274288
"sub-07","chair",4,0.609252626358586
"sub-07","chair",5,0.45160303711215
"sub-07","chair",6,0.214142339542197
"sub-07","chair",7,0.116392803095136
"sub-07","face",1,0.0452328351952639
"sub-07","face",2,0.0416041991740734
"sub-07","face",3,0.254453814102779
"sub-07","face",4,0.484519490576677
"sub-07","face",5,0.380207105451438
"sub-07","face",6,0.218583301147814
"sub-07","face",7,0.0573381842403717
"sub-07","house",1,0.0454870063512297
"sub-07","house",2,0.14834732543363
"sub-07","house",3,0.494697409215451
"sub-07","house",4,0.654870783914931
"sub-07","house",5,0.45153760896961
"sub-07","house",6,0.217826587548305
"sub-07","house",7,0.0568479329560671
"sub-07","shoe",1,0.0374718873259472
"sub-07","shoe",2,0.030713545557824
"sub-07","shoe",3,0.351673889549171
"sub-07","shoe",4,0.550132386320249
"sub-07","shoe",5,0.382963413905818
"sub-07","shoe",6,0.235168824203969
"sub-07","shoe",7,0.120887152880177
"sub-08","cat",1,0.0970330771992041
"sub-08","cat",2,0.104395305349662
"sub-08","cat",3,0.258019052492263
