"tITI","t","trial_start","mean_slope","sem_upper","sem_lower"
"Rest Pre S1",43,NA,-0.0113807307651038,0.00474619820141296,-0.0275076597316206
"Rest Pre S1",44,NA,0.0185934837709325,0.035060767624163,0.00212619991770193
"Rest Pre S1",45,NA,-0.00690293072098278,0.0101155958522819,-0.0239214572942475
"Rest Pre S1",46,NA,-0.00677673117674163,0.0094011487334629,-0.0229546110869462
"Rest Pre S1",47,NA,-0.0100317969344706,0.00457948277036702,-0.0246430766393083
"Rest Pre S1",48,NA,-0.0100915867893504,0.0049892360387473,-0.0251724096174481
"Rest Pre S1",49,NA,-0.00718689783986085,0.00919551191872044,-0.0235693075984421
"Rest Pre S1",50,NA,-0.0081403069832398,0.00767876323729411,-0.0239593772037737
"Rest Pre S1",51,NA,0.00122377941460805,0.0184238462111078,-0.0159762873818917
"Rest Pre S1",52,NA,-0.00999523199183697,0.00432624833278855,-0.0243167123164625
"Rest Pre S1",53,NA,-0.0139184712802851,-0.000131791355098972,-0.0277051512054713
"Rest Pre S1",54,NA,-0.0266159702506391,-0.0106595492768167,-0.0425723912244615
"Rest Pre S1",55,NA,-0.00596045679993149,0.00928748131920573,-0.0212083949190687
"Rest Pre S1",56,NA,-0.0108356294185129,0.00461711152624441,-0.0262883703632701
"Rest Pre S1",57,NA,-0.00171635203317682,0.0149395301270423,-0.0183722341933959
"Rest Pre S1",58,NA,-0.00735953052009935,0.00870324682681232,-0.023422307867011
"Rest Pre S1",59,NA,-0.020205928598777,-0.00380676834447334,-0.0366050888530806
"Rest Pre S1",60,NA,-0.0155778040959528,0.000142924105852224,-0.0312985322977578
"Rest Pre S1",61,NA,-0.0119683506904692,0.00298783564652594,-0.0269245370274643
"Rest Pre S1",62,NA,-0.00628293416807019,0.00938766964525252,-0.0219535379813929
"Rest Pre S1",63,NA,0.00463266349131261,0.0178813946097863,-0.00861606762716103
"Rest Pre S1",64,NA,0.0116384582754388,0.0272364982943096,-0.003959581743432
"Rest Pre S1",65,NA,-0.00923044301108354,0.00978858779221002,-0.0282494738143771
"Rest Pre S1",66,NA,0.00240321631530785,0.0192968182348506,-0.0144903856042349
"Rest Pre S1",67,NA,0.0141932089278102,0.0287974014033601,-0.000410983547739729
"Rest Pre S1",68,NA,-0.0106506181468247,0.00566943097843037,-0.0269706672720797
"Rest Pre S1",69,NA,0.000378308212971518,0.0131955320655732,-0.0124389156396301
"Rest Pre S1",70,NA,-0.00419751291400999,0.0126203523096703,-0.0210153781376902
"Rest Pre S1",71,NA,0.0026484514914168,0.0161307974576963,-0.0108338944748627
"Rest Pre S1",72,NA,0.0318378663786772,0.04755570238964,0.0161200303677145
"Rest Pre S1",73,NA,0.00705945949119522,0.0211078287288287,-0.00698890974643821
"Rest Pre S1",74,NA,0.0195024434813791,0.0329260416175598,0.00607884534519849
"Rest Pre S1",75,NA,0.012280741390657,0.0235707986480371,0.000990684133276805
"Rest Pre S1",76,NA,-0.0209724296268913,-0.002869103361134,-0.0390757558926485
"Rest Pre S1",77,NA,-0.0119967199709497,0.00869178563597127,-0.0326852255778707
